ID_Matricula,Cod_Servico_Academico,ID_Turma,Score_Final
2026001,ADS101,T001,9.1
2026001,ADS102,T001,8.4
2026001,ADS105,T001,8.9
2026002,ADS101,T001,7.3
2026002,ADS103,T001,6.8
2026002,ADS104,T001,7.0
2026003,ADS101,T001,5.9
2026003,ADS102,T001,7.5
2026003,ADS106,T001,6.1
2026004,ADS103,T001,4.7
2026004,ADS104,T001,6.2
2026004,ADS105,T001,5.8
2026005,ADS102,T001,9.5
2026005,ADS104,T001,8.1
2026005,ADS106,T001,8.7
2026006,ADS101,T001,6.4
2026006,ADS103,T001,5.6
2026006,ADS105,T001,6.9
2025010,ADS101,T002,6.4
2025010,ADS102,T002,7.1
2025011,ADS103,T002,8.8
2025011,ADS104,T002,7.9
2025012,ADS105,T002,5.5
2025012,ADS106,T002,6.3
